VERSION	PATIENTID	FULLNAME	PROCEDURENAME	GENDER	BIRTHDATE	AGE	WEIGHT	SAMPLEDESCRIPTION	SITEID	OPERATORID	SAMPLETYPE	CHANNEL	ONTIME	OFFTIME	SP(min)	R(min)	K(min)	Angle(deg)	MA(mm)	TMA(min)	G(d/sc)	E(d/sc)	TPI(/sec)	EPL(%)	A30(mm)	CL30(%)	LY30(%)	A60(mm)	CL60(%)	LY60(%)	CLT(min)	A(mm)	CI	PMA	LTE(min)	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_TXA75		Temporary Operator	CN	3	4/26/2024 1:42:39 PM	4/26/2024 3:15:49 PM	4.7	5.8	3.6	46.7	47.2	32.2	4,467.5	89.3	12.5	0.0	47.2	100.0	0.0	47.2	100.0	0.0	-59.7	50.1	0.3	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_TXA200		Temporary Operator	CN	1	4/26/2024 1:38:40 PM	4/26/2024 3:08:50 PM	3.0	3.9	3.8	48.1	45.4	29.2	4,158.6	83.2	10.8	0.0	45.4	100.0	0.0	45.4	100.0	0.0	-60.9	49.5	0.4	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_0		Temporary Operator	CN	1	4/15/2024 2:13:10 PM	4/15/2024 3:47:25 PM	6.6	7.7	3.1	51.1	60.3	33.2	7,605.9	152.1	24.7	0.0	60.3	100.0	0.0	60.3	100.0	0.0	-60.8	62.5	1.9	0.0	490.2	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_tPA75_TXA200		Temporary Operator	CN	4	4/26/2024 4:04:45 PM	4/26/2024 5:39:10 PM	4.8	6.0	3.8	45.7	48.2	33.4	4,656.0	93.1	12.4	0.0	48.2	100.0	0.0	48.2	100.0	0.0	-61.0	52.3	0.5	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_0		Temporary Operator	CN	2	4/15/2024 2:14:16 PM	4/15/2024 3:51:51 PM	6.5	7.6	2.2	57.9	73.2	36.7	13,691.6	273.8	60.9	0.0	73.2	100.0	0.0	73.2	100.0	0.0	-60.8	75.5	3.9	0.0	583.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_tPA75		Temporary Operator	CN	3	4/25/2024 5:18:27 PM	4/25/2024 6:43:42 PM	4.4	5.8	3.3	46.6	43.5	24.2	3,854.5	77.1	11.6	40.7	2.0	4.5	40.7	0.2	0.4	71.4	30.0	0.2	-0.3	0.0	30.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_0		Temporary Operator	CN	3	4/26/2024 6:21:03 PM	4/26/2024 7:53:13 PM	5.1	6.5	3.6	44.7	48.6	31.2	4,726.4	94.5	13.2	0.0	48.6	100.0	0.0	48.6	100.0	0.0	-60.1	51.5	0.4	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_tPA50		Temporary Operator	CN	2	4/25/2024 5:16:39 PM	4/25/2024 6:49:14 PM	4.9	6.0	2.5	54.1	54.7	31.6	6,034.5	120.7	24.1	6.9	39.2	71.6	6.9	0.5	1.0	42.8	53.3	0.5	1.3	0.0	53.3	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_tPA75		Temporary Operator	CN	4	4/25/2024 5:19:27 PM	4/25/2024 6:45:57 PM	3.1	5.8	2.8	43.4	51.3	25.5	5,259.7	105.2	19.1	36.8	4.2	8.1	36.8	0.3	0.5	69.2	33.0	0.3	1.1	0.0	33.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S1C_tPA75_TXA200		Temporary Operator	CN	3	4/26/2024 4:02:29 PM	4/26/2024 5:34:39 PM	4.8	6.1	4.8	41.0	41.1	31.2	3,494.8	69.9	7.4	0.0	41.1	100.0	0.0	41.1	100.0	0.0	-61.8	43.4	-0.6	0.0	250.0	
