VERSION	PATIENTID	FULLNAME	PROCEDURENAME	GENDER	BIRTHDATE	AGE	WEIGHT	SAMPLEDESCRIPTION	SITEID	OPERATORID	SAMPLETYPE	CHANNEL	ONTIME	OFFTIME	SP(min)	R(min)	K(min)	Angle(deg)	MA(mm)	TMA(min)	G(d/sc)	E(d/sc)	TPI(/sec)	EPL(%)	A30(mm)	CL30(%)	LY30(%)	A60(mm)	CL60(%)	LY60(%)	CLT(min)	A(mm)	CI	PMA	LTE(min)	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_TXA200		Temporary Operator	CN	1	4/27/2024 4:07:04 PM	4/27/2024 5:40:09 PM	1.3	8.2	4.5	23.6	34.9	32.1	2,675.7	53.5	5.9	0.0	34.9	100.0	0.0	34.9	100.0	0.0	-61.2	40.4	-1.8	1.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_tPA75_TXA200		Temporary Operator	CN	3	4/27/2024 5:59:09 PM	4/27/2024 7:31:19 PM	6.7	8.2	6.5	39.3	32.0	31.2	2,347.9	47.0	3.6	0.0	32.0	100.0	0.0	32.0	100.0	0.0	-58.2	38.8	-2.6	1.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_0		Temporary Operator	CN	4	4/15/2024 2:20:01 PM	4/15/2024 4:00:56 PM	9.7	10.8	2.6	53.6	68.7	39.9	10,988.0	219.8	42.5	0.0	68.7	100.0	0.0	68.7	100.0	0.0	-60.9	72.8	2.4	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_0		Temporary Operator	CN	4	4/28/2024 11:09:23 AM	4/28/2024 12:48:13 PM	6.3	7.3	2.8	53.5	43.4	37.8	3,832.5	76.6	13.9	0.0	43.4	100.0	0.0	43.4	100.0	0.0	-63.0	52.0	-0.9	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_TXA10		Temporary Operator	CN	4	4/27/2024 2:09:57 PM	4/27/2024 3:50:02 PM	6.7	7.6	2.9	52.9	47.5	39.1	4,518.1	90.4	15.5	0.0	47.5	100.0	0.0	47.5	100.0	0.0	-59.3	56.8	-0.2	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_tPA75		Temporary Operator	CN	4	4/27/2024 12:24:24 PM	4/27/2024 1:51:29 PM	6.3	7.2	2.5	55.8	39.2	26.1	3,226.2	64.5	12.9	37.8	3.9	9.8	37.8	0.2	0.6	69.5	33.3	0.2	-1.6	0.0	33.3	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_tPA75_TXA75		Temporary Operator	CN	1	4/28/2024 11:06:30 AM	4/28/2024 12:31:25 PM	6.7	7.4	3.2	54.8	33.2	23.8	2,489.8	49.8	7.9	48.6	0.9	2.8	48.6	0.2	0.6	75.1	26.2	0.2	-2.6	1.0	26.2	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_TXA75		Temporary Operator	CN	3	4/27/2024 4:10:21 PM	4/27/2024 5:45:56 PM	6.9	8.0	3.8	49.1	38.8	34.6	3,175.8	63.5	8.5	0.0	38.8	100.0	0.0	38.8	100.0	0.0	-62.4	43.9	-1.7	1.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_TXA75		Temporary Operator	CN	4	4/27/2024 4:11:28 PM	4/27/2024 5:48:38 PM	1.0	8.2	3.1	27.5	45.4	36.2	4,162.5	83.2	13.5	0.0	45.4	100.0	0.0	45.4	100.0	0.0	-60.4	52.9	-0.1	0.0	250.0	
4.2.101	SampleC_tPATXA	SampleC_tPATXA						S2C_TXA200		Temporary Operator	CN	2	4/27/2024 4:08:15 PM	4/27/2024 5:45:55 PM	7.2	8.1	3.1	52.6	44.4	36.7	3,992.6	79.9	12.9	0.0	44.4	100.0	0.0	44.4	100.0	0.0	-62.0	50.3	-0.9	0.0	250.0	
