VERSION	PATIENTID	FULLNAME	PROCEDURENAME	GENDER	BIRTHDATE	AGE	WEIGHT	SAMPLEDESCRIPTION	SITEID	OPERATORID	SAMPLETYPE	CHANNEL	ONTIME	OFFTIME	SP(min)	R(min)	K(min)	Angle(deg)	MA(mm)	TMA(min)	G(d/sc)	E(d/sc)	TPI(/sec)	EPL(%)	A30(mm)	CL30(%)	LY30(%)	A60(mm)	CL60(%)	LY60(%)	CLT(min)	A(mm)	CI	PMA	LTE(min)	
4.2.101	.	SampleF_tPA_TXA						S3F_tPA_100_TXA_0.25		Temporary Operator	CN	2	2/20/2025 2:44:56 PM	2/20/2025 4:12:01 PM	3.7	4.0	3.1	67.6	39.1	26.1	3,207.2	64.1	10.4	14.9	15.8	40.4	14.9	0.2	0.4	55.5	41.1	0.2	-1.1	1.0	41.0	
4.2.101	.	SampleF_tPA_TXA						S5F_tPA_0_TXA_0		Temporary Operator	CN	3	2/25/2025 12:59:39 PM	2/25/2025 2:17:14 PM	3.9	4.2	2.1	71.3	27.2	16.5	1,867.7	37.4	9.0	0.0	27.2	100.0	0.0	27.2	100.0	0.0	-60.1	33.9	-3.2	1.0	250.0	
4.2.101	.	SampleF_tPA_TXA						S3F_tPA_50_TXA_2		Temporary Operator	CN	2	2/20/2025 12:31:18 PM	2/20/2025 2:01:38 PM	3.3	3.8	9.7	49.7	29.2	29.2	2,058.6	41.2	2.1	0.0	29.2	100.0	0.0	29.2	100.0	0.0	-62.0	32.1	-2.2	1.0	167.1	
4.2.101	.	SampleF_tPA_TXA						S2F_tPA_100_TXA_1		Temporary Operator	CN	3	2/18/2025 12:07:29 PM	2/18/2025 1:34:29 PM	5.4	6.2	3.1	53.5	47.7	26.0	4,556.5	91.1	14.8	17.0	22.6	47.3	17.0	0.5	1.1	52.7	51.0	0.5	0.1	0.0	51.0	
4.2.101	.	SampleF_tPA_TXA						S2F_tPA_50_TXA_0		Temporary Operator	CN	2	2/14/2025 2:01:10 PM	2/14/2025 3:34:45 PM	6.2	7.3	6.3	34.4	39.2	32.5	3,226.2	64.5	5.1	9.4	25.8	65.7	9.4	2.7	6.8	41.6	-61.8	2.5	-1.0	1.0	61.0	
4.2.101	.	SampleF_tPA_TXA						S5F_tPA_50_TXA_1		Temporary Operator	CN	4	2/25/2025 4:38:22 PM	2/25/2025 6:05:12 PM	2.2	2.6	9.4	64.6	27.0	25.8	1,852.2	37.0	2.0	0.0	27.0	100.0	0.0	27.0	100.0	0.0	-63.0	32.3	-2.6	1.0	275.3	
4.2.101	.	SampleF_tPA_TXA						S1F_tPA_100_TXA_10		Temporary Operator	CN	3	2/13/2025 12:18:44 PM	2/13/2025 1:55:19 PM	5.1	5.8	4.2	48.4	45.5	35.6	4,170.4	83.4	9.8	0.0	45.5	100.0	0.0	45.5	100.0	0.0	-61.2	48.7	0.0	0.0	391.5	
4.2.101	.	SampleF_tPA_TXA						S5F_tPA_50_TXA_0		Temporary Operator	CN	1	2/25/2025 2:37:19 PM	2/25/2025 3:59:19 PM	2.5	2.9	17.3	60.9	21.0	20.9	1,326.0	26.5	0.8	7.0	12.5	59.6	7.0	0.5	2.3	47.7	43.2	0.5	-3.4	1.0	43.2	
4.2.101	.	SampleF_tPA_TXA						S4F_tPA_50_TXA_0.5		Temporary Operator	CN	4	2/21/2025 3:04:30 PM	2/21/2025 4:33:15 PM	4.4	5.1	6.3	52.4	30.9	27.8	2,238.2	44.8	3.5	0.0	30.9	100.0	0.0	30.9	100.0	0.0	-63.1	32.7	-2.3	1.0	132.9	
4.2.101	.	SampleF_tPA_TXA						S5F_tPA_100_TXA_0.25		Temporary Operator	CN	1	2/28/2025 2:30:24 PM	2/28/2025 3:45:34 PM	2.2	2.7		63.6	18.1	14.2	1,105.1	22.1	0.0	36.0	0.4	2.2	36.0	0.2	1.2	68.9	25.1	0.2		1.0	25.1	
4.2.101	.	SampleF_tPA_TXA						S2F_tPA_100_TXA_0.5		Temporary Operator	CN	1	2/18/2025 12:06:41 PM	2/18/2025 1:37:06 PM	5.6	6.7	6.2	37.0	36.6	29.4	2,885.7	57.7	4.6	17.7	18.1	49.5	17.7	0.7	2.0	51.8	51.9	0.7	-1.4	1.0	51.9	
4.2.101	.	SampleF_tPA_TXA						S5F_tPA_100_TXA_0.25		Temporary Operator	CN	2	2/28/2025 2:30:38 PM	2/28/2025 3:45:58 PM	0.9	2.8		36.5	16.6	14.2	998.7	20.0	0.0	41.9	0.6	3.8	41.9	0.4	2.6	70.9	23.4	0.5		1.0	23.4	
4.2.101	.	SampleF_tPA_TXA						S5F_tPA_100_TXA_0.5		Temporary Operator	CN	4	2/28/2025 2:31:39 PM	2/28/2025 3:46:09 PM	2.0	2.8		56.7	18.9	13.5	1,168.7	23.4	0.0	48.7	0.3	1.8	48.7	0.2	1.3	74.9	20.9	0.2		1.0	20.9	
4.2.101	.	SampleF_tPA_TXA						S5F_tPA_100_TXA_0		Temporary Operator	CN	3	2/28/2025 12:57:03 PM	2/28/2025 2:10:33 PM	2.5	2.9		56.1	15.5	12.5	915.5	18.3	0.0	70.9	0.2	1.4	70.9	0.2	1.3	85.5	14.4	0.2		1.0	14.4	
4.2.101	.	SampleF_tPA_TXA						S2F_tPA_100_TXA_0		Temporary Operator	CN	1	2/13/2025 4:00:16 PM	2/13/2025 5:19:26 PM	6.9	8.2	5.9	35.8	25.4	18.1	1,701.6	34.0	2.9	60.1	0.3	1.1	60.1	0.1	0.5	80.7	22.0	0.2	-3.6	1.0	22.0	
